"species","lat","long","elev","intercept","confint","slope","confslope"
"AESHIP",45.8333,13.9333,130,-0.0239247759777653,-0.759969730854781,-0.0105441803757529,-0.0867666859346164
"AESHIP",47.7333,10.3167,680,-0.439438928499838,-1.09135068284329,-0.030603108302726,-0.0854693478914966
"AESHIP",47.8167,12.65,610,-1.87248594251015,-2.79548773826653,0.0500074127828617,-0.0083846732827859
"AESHIP",48,11.3333,590,-0.577543389644088,-1.37714015278796,0.0408160141535194,-0.0126779153779535
"AESHIP",48.0667,12.7667,390,-1.27307239473529,-2.18082732905633,0.00839594686367439,-0.0869610632819195
"AESHIP",48.4333,8.2,390,-1.13633295484126,-1.9292466187666,0.0157885573741586,-0.0390328714418465
"AESHIP",48.45,10.2667,450,-0.287941922951308,-0.917235746509381,0.0353614571826609,-0.0130902000060971
"AESHIP",48.4833,9.41667,460,0.482558267967428,-0.199089009829025,-0.0161909774376069,-0.0719141313160021
"AESHIP",48.8,8.31667,150,-1.78939031464663,-2.69584548202589,0.0610828253230831,-0.00113817613324042
"AESHIP",48.85,13.3333,560,0.177465802072455,-0.470452355658921,0.0292811383917636,-0.0229423275082372
"AESHIP",48.9,10.9333,550,-0.406589848182888,-1.05404553600347,0.0017273722252006,-0.0459146070297296
"AESHIP",49.1167,7.56667,280,-2.18810803633648,-3.32323869608284,0.0205827535142155,-0.0736629725541957
"AESHIP",49.1333,10.1833,460,-0.0175269416020402,-0.641290659187513,-0.0210421069399851,-0.0689387423964498
"AESHIP",49.1333,12.7333,480,-0.00142188726754464,-0.625289774882205,0.0234414052601922,-0.0246693729737247
"AESHIP",49.2167,12.7667,480,-0.976996849741148,-1.66835164159366,0.0375349856555484,-0.0110177388788173
"AESHIP",49.3167,12.75,420,0.128339999991889,-0.496059611600441,-0.0233825768162922,-0.0709659413406486
"AESHIP",49.4333,12.5833,530,-0.628320624091717,-1.27899320144947,0.0293292048650524,-0.0181580868485108
"AESHIP",49.8667,11.9,460,-0.777626192631015,-1.44823884767786,-0.00131724775550802,-0.0516783084441225
"AESHIP",49.9333,11.2833,400,-0.240014774803031,-0.867932745997049,-0.00919511648651844,-0.0568019702554483
"AESHIP",49.9833,7.96667,119.507936507937,-1.28358559027142,-2.03206505281035,0.0209775381152144,-0.0309689518614712
"AESHIP",50.0167,11.95,600,-0.731144263548215,-1.41485246006383,0.0302198400587862,-0.0198497939424667
"AESHIP",50.1167,11.6167,370,-0.0900994530362901,-0.713546397512245,-0.00425855875386323,-0.0510097087857969
"AESHIP",50.15,10.4333,290,-0.535709188689032,-1.18045315195871,0.00300131870746443,-0.0449420697200673
"AESHIP",50.2,6.41667,450,-0.939438806631668,-1.63782262962526,-0.0207538561217861,-0.0780828784522486
"AESHIP",50.3167,11.9167,500,0.285596877166315,-0.344575236963884,0.0115634852686307,-0.0365517038823057
"AESHIP",50.4667,9.31667,460,-1.8057769104216,-2.7194518681229,0.0211717015675626,-0.0390447511373696
"AESHIP",50.5167,8.81667,170,-0.636271733746446,-1.28868825217674,0.0148645294059744,-0.0327358308350557
"AESHIP",50.9,13.6667,325,-0.795235078503004,-1.57211579757266,0.0485510066228447,-0.0167180501030981
"AESHIP",51.2167,7.85,250,-1.0804189414613,-1.93737224369473,0.0477588950804211,-0.0204645957671067
"AESHIP",51.45,8.35,320,-0.871006295810663,-1.55008091036353,0.018002396461736,-0.0306756381618268
"AESHIP",51.6333,6.18333,20,-2.27980220694859,-3.39666928753966,0.01431394635168,-0.0667575242307823
